book_id,book_name,user_id,author,review_text,ratings,review_date,source
843114169,Five Silly Turkeys,Stina,Salina Yoon,This is my babys favorite book She loves to chew on the five turkey tails The only issue with this is the cardboard is coming apart on all of the pages around tail pieces Such a fun little thanksgiving book,4,2021-03-12,Customer
1450805752,World of Eric Carle Around the Farm 30Button Animal Sound Book Great for First Words PI Kids,Donna,Editors of Publications International,Granddaughters 2 4 loved this book as our bedtime routine for a week They took turns pushing the buttons giggling smiling laughing as I read and turned the pages They would do the animal sounds also We all had our favorites 2 year old would keep the book and continue to play in bed until she fell asleep with the book Absolutely loved the book I however made the mistake of letting her have it in bed I forgot she sometimes plays destructo Well the pages did not survive SHe is also excellent at getting price tags and stickers off boxes games books anything I am so sad but have the memories of all the giggles and fun we had If the girls spend extending time I would rebuy and tell her the book goes to bed with Nana,5,2023-09-15,Customer
1728295149,The Christmas Fix,MC kindle,Lucy Score,Fabulous story with the best characters Loved the town that needed rescuing and when everyone jumped in to help each other Perfect The kids are too stinking perfect,4,2023-12-08,Customer
385548958,The Exchange After The Firm The Firm Series,Kindle Customer,John Grisham,Good job on this after The Firm book I enjoyed the short trip down memory lane from The Firm the vivid descriptions of places and the gruesome action but I believe you might have cut this short without revealing WHO did it and WHYDoes thus mean the next book will provide all the details and possibly the back story for those violet individuals seeking a 100 million dollar pay day,4,2023-05-11,Customer
1501161938,The Seven Husbands of Evelyn Hugo A Novel,Elizabeth du Fresne,Morgan Housel,Taylor Jenkins Reid hit the best seller lists with this take on an Elizabeth TaylorLike character She has rarely left those lists for the years that followed Daisy Jones and the Six was on the lists for more than a year and then it was made into a very well received television production Reid writes accessible fiction that clearly speaks to todays readers This was one was set in a preStonewell world of the movies and its stars The surprising choice of the elderly actress of an author to write her biography a relatively unknown writer for a cultural magazine gives an interesting perspective begins the book and in a way ends it as well The twists of plot,4,2023-09-25,Customer
1250787653,Hundred Years War on Palestine,Tina,Rashid Khalidi,This book is required reading to get the real history of the formation of Israel and the ethnic cleansing of Palestinians which is happening to this day,5,2023-04-11,Customer
1368098177,Percy Jackson and the Olympians The Chalice of the Gods Percy Jackson the Olympians,Andrew Thomas,Rick Riordan,The story is as charming as a regular reader of Riordan has come to expect If youre NOT a regular reader why not There is less action than usual but the snarky asides from the narrator the ever reliable Percy Jackson are definitely present full humour quotient in placeBut What The Hell is up with the changing fonts every few words From serif to nonserif and back and forth again and again There are few things as annoying in a novel than anomalies that pull the reader out of the story and this font switching is high on the annoyance list If these were to stress some words as seems to be the case in some instances why not use italics in the common manner This font thing is unacceptableOr is this a problem in the formatting when uploading the digital version If thats the issue for the sake of all the gods fix it and fix it now Then arrange for a corrected version to be downloaded to every person who spent actual money for this You cant treat loyal fans this wayCheers,5,2023-03-10,Customer
1338635174,The Ballad of Songbirds and Snakes A Hunger Games Novel The Hunger Games,Mama2one,Suzanne Collins,I have such mixed emotions after finishing this book but first of all this book is absolutely incredible I honestly think it might be my favorite book of the HG series and Ms Collins absolutely does not disappoint with her writing and content Getting to read about Panem and thus the beginning of the HG was so gratifying and the way this story flowed into and matched up with the trilogy was absolutely flawless Truly it is excellentNow its kind of rare to read a book when the protagonist is the villain We all clearly know from the HG trilogy that President Snow is a pretty terrible person yet reading this book from his point of view its easy to forget that but its also fascinating to see how he thinks of himself and sees his own actions Along that same thought Snow is very charismatic and definitely knows how to work the people around him to get what he wants or to present himself in a way that will clearly benefit himself often at the cost of someone elseMinor spoiler The other part of Snows life that I do find incredibly sad while he definitely has poor character traits to begin with he was also very manipulated by several people around him which I think added considerably to how he turned out as an adult and VERY much shaped his viewpoint and his creation of the gamesSo definitely worth the read and reread This book is very thoughtprovoking even from outside the dystopian viewpoint There are a lot of reflections on who WE are as humans as groups societies on the roles of government and the rights of its citizensFor the many pages it reads quickly Hope you enjoy it as much as I did,5,2023-12-09,Customer
1501173219,All the Light We Cannot See A Novel,Soleil,Anthony Doerr,I did not read this book I inhaled it If I could give it 6 stars I would There is a reason it won the Pulitzer Actually there are many,5,2023-10-31,Customer
1668003090,Dirty Thirty 30 Stephanie Plum,AngelosGal,Janet Evanovich,I have been waiting years for Stephanie Plum to be shown as more than a bumbling clueless thirty something Finally when I thought this would be my last book I got my wish I started to read and figured it would be the same ole same ole with Stephanie taking a soft approach to her job having her cars blown up settling for whatever the men in her life dished out and basically getting by on luck but this time she finally showed that she could be good at this job and maybe not just settle for what life was throwing at her She put her intelligence to use got tough and pulled through on her skips She was for once great And just when I thought my dream Stephanie book was finally happening the author pulls that ending I call foul But I have to admit it was the best Plum book she had done in years However it is time to end this back and forth about Morelli and Ranger It is not fair to the faithful readers who have been punked book after book making us believe Stephanie will finally get her man Though I am still Team Ranger in case anyone cares,4,2023-01-11,Customer
